City,Temp,Max_temp,Cloudiness,Humidity,Wind Speed,Lat,Long
Lakselv,44.6,44.6,100,87,27.51,70.05,24.97
Dongsheng,66.45,66.45,48,60,5.35,39.82,109.98
Thabazimbi,48.63,48.63,0,76,3.53,-24.59,27.41
Gladstone,62.6,62.6,0,77,5.82,-23.85,151.25
Charters Towers,69.15,69.15,79,61,13.47,-20.1,146.27
Entre Rios,63.46,63.46,0,86,1.68,-11.94,-38.08
San Quintín,68.65,68.65,0,65,11.52,30.48,-115.95
Kahului,82.0,89.6,20,49,28.86,20.89,-156.47
Córdoba,42.48,46.0,95,86,5.82,-31.41,-64.18
Ilulissat,48.2,48.2,0,66,5.82,69.22,-51.1
Laguna,94.93,96.01,1,20,8.05,38.42,-121.42
Vaini,73.4,73.4,75,73,8.05,-21.2,-175.2
Grand-Lahou,76.66,76.66,99,81,9.04,5.14,-5.02
Avarua,80.6,80.6,61,83,11.41,-21.21,-159.78
Nikolskoye,56.07,57.2,1,87,8.95,59.7,30.79
Yumen,71.42,71.42,49,21,6.93,40.28,97.2
Necochea,45.0,45.0,99,96,1.99,-38.55,-58.74
Hobart,47.84,48.2,75,87,10.29,-42.88,147.33
St. George's,82.4,82.4,20,83,15.57,12.06,-61.75
Talnakh,51.8,51.8,70,76,4.47,69.49,88.4
Ancud,47.64,48.99,75,100,10.29,-41.87,-73.82
Chokurdakh,53.49,53.49,0,46,16.33,70.63,147.92
East Angus,78.8,78.8,20,61,6.93,45.48,-71.67
Arrondissement de Thiers,69.8,69.8,75,73,5.82,45.83,3.5
Wanaka,37.0,37.0,0,81,1.52,-44.7,169.15
Upernavik,37.51,37.51,100,80,16.06,72.79,-56.15
Castro,43.12,43.12,15,84,2.93,-24.79,-50.01
Rørvik,50.22,50.22,77,60,10.33,64.86,11.24
Kapaa,83.39,86.0,1,62,11.41,22.08,-159.32
Coquimbo,57.2,57.2,76,82,3.36,-29.95,-71.34
Poum,69.98,69.98,5,58,9.73,-20.23,164.02
Petropavlovsk-Kamchatskiy,51.8,51.8,90,100,8.95,53.05,158.65
Harper,75.4,75.4,34,79,8.05,4.38,-7.72
Broken Hill,48.2,48.2,0,70,8.05,-31.95,141.43
Orange Walk District,86.83,87.8,20,74,8.05,17.83,-88.83
Longyearbyen,48.2,48.2,0,45,4.7,78.22,15.64
Bluff,39.0,39.0,67,83,3.0,-46.6,168.33
Camacha,69.8,69.8,75,83,11.41,33.08,-16.33
Port Lincoln,53.6,53.6,6,64,17.47,-34.73,135.87
Port Alfred,59.0,59.0,6,62,1.99,-33.59,26.89
Lebu,50.05,50.05,32,88,3.89,-37.62,-73.65
Souillac,71.6,71.6,75,78,12.75,-20.52,57.52
Metu,59.02,59.02,100,99,2.13,8.3,35.58
Klaksvík,44.6,44.6,90,75,17.22,62.23,-6.59
Mbandaka,71.29,71.29,72,87,2.15,0.05,18.26
Ogaminana,73.15,73.15,59,93,4.23,7.59,6.22
Katsuura,76.17,77.0,40,88,24.16,35.13,140.3
Bisert',41.05,41.05,0,90,1.57,56.86,59.05
Fortuna,61.52,63.0,20,59,20.8,40.6,-124.16
Flinders,65.53,69.01,10,62,11.01,-34.58,150.86
Shingū,73.4,73.4,40,69,11.41,33.73,135.98
Takoradze,75.11,75.11,58,86,6.04,4.88,-1.76
Dunedin,48.27,51.01,73,75,5.1,-45.87,170.5
Sarankhola,81.86,81.86,93,89,5.37,22.31,89.79
Bethel,71.82,75.2,75,64,6.93,41.37,-73.41
Norman Wells,60.8,60.8,90,82,14.99,65.28,-126.83
Oranjemund,58.44,58.44,0,62,6.71,-28.55,16.43
Bonavista,61.86,61.86,100,91,9.69,48.65,-53.11
Arman',63.77,63.77,9,38,2.06,59.7,150.17
Portland,62.96,64.99,75,63,11.41,45.52,-122.68
Kauhajoki,48.15,51.01,0,87,2.24,62.43,22.18
Mahébourg,71.6,71.6,75,78,12.75,-20.41,57.7
Bermeo,63.45,64.4,75,93,2.24,43.42,-2.72
Kaitangata,45.0,45.0,69,84,1.99,-46.28,169.85
Te Anau,42.76,42.76,10,75,0.45,-45.42,167.72
Carmaux,66.99,66.99,82,91,6.42,44.05,2.16
Nokaneng,52.16,52.16,0,50,6.85,-19.67,22.27
Acaraú,77.68,77.68,2,85,10.87,-2.89,-40.12
Kruisfontein,50.92,50.92,16,57,2.93,-34.0,24.73
Pervomayskiy,58.33,58.33,47,93,5.59,53.25,40.29
Laas,57.49,61.0,5,93,4.7,46.62,10.7
Vila Velha,74.23,75.0,90,73,4.7,-20.33,-40.29
Luanda,71.6,71.6,4,94,4.7,-8.84,13.23
Xining,58.19,58.19,0,54,2.51,36.62,101.77
Provideniya,46.4,46.4,90,87,15.66,64.38,-173.3
Nola,73.0,73.0,0,76,1.95,40.92,14.53
São Filipe,74.16,74.16,10,81,9.06,14.9,-24.5
Buala,82.99,82.99,98,75,6.69,-8.14,159.59
Santa Maria,51.8,51.8,75,87,3.36,-29.68,-53.81
Fort Nelson,60.8,60.8,90,87,5.82,58.81,-122.7
Piro,88.39,88.39,78,61,2.77,25.33,84.42
Khanbari,74.71,74.71,99,78,0.69,27.37,87.2
Lata,61.34,63.0,5,94,5.01,40.16,-8.33
Noumea,70.59,71.6,2,43,8.05,-22.28,166.46
Kismayo,78.01,78.01,94,76,16.28,-0.36,42.55
Bathsheba,82.4,82.4,20,78,18.34,13.22,-59.52
Faya,74.3,75.2,20,33,3.0,18.39,42.45
Le Havre,60.03,60.8,75,87,12.75,49.49,0.11
Kharp,51.8,51.8,5,72,3.8,66.8,65.81
Bambanglipuro,77.67,77.67,65,85,6.46,-7.95,110.28
Cabo San Lucas,82.31,84.0,40,78,10.29,22.89,-109.91
Kumul,78.15,78.15,62,18,8.77,42.8,93.45
Taoudenni,95.02,95.02,4,14,0.94,22.68,-3.98
Thinadhoo,83.64,83.64,23,64,3.18,0.53,72.93
Hasaki,77.61,78.8,40,78,13.87,35.73,140.83
Tura,75.4,75.4,99,96,6.55,25.52,90.22
Cidreira,54.03,54.03,51,81,17.65,-30.18,-50.21
Atambua,73.18,73.18,18,65,4.65,-9.11,124.89
Haines Junction,69.93,69.93,87,25,2.98,60.75,-137.51
Mahibadhoo,83.34,83.34,67,71,5.99,3.78,72.97
Barcelos,62.53,63.0,9,82,8.05,41.54,-8.62
La Grande,65.1,66.0,1,42,3.36,45.32,-118.09
Saratoga Springs,71.29,73.0,83,74,3.24,43.08,-73.78
Kavieng,84.9,84.9,90,67,10.09,-2.57,150.8
Mar del Plata,45.37,46.99,90,93,6.93,-38.0,-57.56
Corridonia,78.01,78.01,0,79,4.05,43.25,13.51
Athabasca,59.23,59.23,98,90,7.43,54.72,-113.29
Kavaratti,83.32,83.32,100,75,14.27,10.57,72.64
Provincia di Ancona,78.01,78.8,0,69,2.24,43.55,13.17
Beyneu,66.7,66.7,0,33,7.81,45.32,55.2
Kodinsk,72.0,72.0,81,57,5.37,58.69,99.18
Itarema,77.7,77.7,1,84,10.09,-2.92,-39.92
Jiazi,84.31,84.31,73,81,11.59,22.88,116.07
La Rochelle,64.4,64.4,90,77,13.87,46.17,-1.15
Olden,43.5,46.0,79,86,3.74,61.84,6.81
Isangel,75.2,75.2,20,53,9.17,-19.55,169.27
Hithadhoo,83.46,83.46,42,66,1.28,-0.6,73.08
Tiksi,43.99,43.99,73,67,7.23,71.69,128.87
Plastun,64.8,64.8,68,67,6.42,44.76,136.29
Paoua,69.8,69.8,50,89,4.88,7.24,16.44
Najrān,82.4,82.4,100,18,4.25,17.49,44.13
Dustlik,76.77,76.77,16,19,9.15,40.52,68.04
San Cristobal,80.6,80.6,40,69,8.05,7.77,-72.22
Zapolyarnyy,48.2,48.2,75,87,27.51,69.42,30.81
Ketchikan,60.06,60.8,90,63,11.41,55.34,-131.65
La Asuncion,95.0,95.0,20,53,19.46,11.03,-63.86
Naousa,77.0,77.0,61,52,1.99,40.63,22.05
Madang,78.21,78.21,95,82,3.83,-5.22,145.8
Greater Sudbury,86.63,87.8,20,38,4.7,46.49,-80.99
Mt. Pleasant,84.63,88.0,1,78,7.76,32.79,-79.86
Ponta Delgada,65.21,66.0,40,77,5.82,37.73,-25.67
Sept-Îles,78.8,78.8,75,47,3.36,50.2,-66.38
Cayenne,77.0,77.0,100,94,6.91,4.93,-52.33
Conceição do Araguaia,80.6,80.6,3,61,2.82,-8.26,-49.26
Prieska,51.13,51.13,0,48,5.64,-29.66,22.75
Abaza,62.64,62.64,1,88,2.37,52.66,90.09
Teahupoo,82.4,82.4,40,61,8.05,-17.83,-149.27
Paamiut,39.9,39.9,50,89,3.2,61.99,-49.67
Yulara,48.2,48.2,0,57,4.7,-25.24,130.99
Todos Santos,82.51,82.99,59,72,4.0,23.45,-110.22
Aleksandrovsk-Sakhalinskiy,49.53,49.53,96,90,7.49,50.9,142.16
Hofn,47.93,47.93,94,77,13.33,64.25,-15.21
Wasco,95.31,98.01,1,14,8.05,35.59,-119.34
Kathmandu,73.4,73.4,75,88,4.7,27.72,85.32
Padang,78.67,78.67,86,77,3.38,-0.95,100.35
Henties Bay,64.45,64.45,0,36,3.47,-22.12,14.28
Havøysund,42.8,42.8,75,93,18.34,71.0,24.66
Exeter,55.18,55.99,40,82,5.82,50.72,-3.53
Ribeira Brava,69.6,71.6,40,73,11.41,32.65,-17.07
Kalmunai,80.85,80.85,93,78,6.58,7.42,81.82
Prainha,74.89,74.89,83,94,2.89,-1.8,-53.48
Tacoronte,66.43,70.0,90,100,20.8,28.48,-16.41
Kazachinskoye,71.46,71.46,30,57,8.28,57.7,93.28
Chinhoyi,50.22,50.22,0,78,4.32,-17.37,30.2
Pevek,40.69,40.69,100,77,7.25,69.7,170.31
Hendersonville,80.89,81.0,75,69,4.7,36.3,-86.62
Tsiroanomandidy,59.09,59.09,15,73,2.84,-18.77,46.03
Tubualá,82.04,82.4,40,78,3.36,9.52,-79.03
Nizwá,82.51,82.51,68,59,2.77,22.93,57.53
Mount Gambier,44.6,44.6,40,93,9.17,-37.83,140.77
Quatre Cocos,69.19,71.6,75,78,12.75,-20.21,57.76
Port Blair,82.62,82.62,99,82,14.32,11.67,92.75
Saint-Augustin,53.51,53.51,100,94,10.54,51.23,-58.65
Mindelo,77.0,77.0,20,73,16.11,16.89,-24.98
‘Āhuimanu,85.42,87.8,20,51,13.87,21.44,-157.84
Codrington,48.31,48.31,29,82,14.09,-38.27,141.97
Buncrana,49.37,49.37,14,92,5.39,55.13,-7.45
Khātegaon,83.03,83.03,32,76,6.73,22.6,76.92
Torbay,67.84,69.01,90,94,16.11,47.67,-52.73
Digoin,69.4,69.8,90,68,2.24,46.48,3.98
Cicuco,80.22,80.22,89,85,2.71,9.26,-74.66
Kaeo,56.05,57.0,1,25,5.99,-35.1,173.78
Mpwapwa,57.7,57.7,61,81,4.34,-6.35,36.48
Nanortalik,42.21,42.21,96,83,5.3,60.14,-45.24
Iqaluit,62.6,62.6,40,48,17.22,63.75,-68.51
Mananjary,67.3,67.3,95,83,9.15,-21.22,48.33
Ponta do Sol,69.53,71.6,40,73,11.41,32.67,-17.1
Puerto Madryn,46.02,46.02,100,78,12.44,-42.77,-65.04
Qaanaaq,40.37,40.37,66,71,2.08,77.48,-69.36
Bilma,84.96,84.96,0,13,4.7,18.69,12.92
Wanlaweyn,74.91,74.91,80,81,14.74,2.62,44.89
Zabaykal'sk,72.03,72.03,89,49,7.29,49.63,117.32
Krasnosel'kup,54.28,54.28,100,89,8.63,65.7,82.47
Llata,47.82,47.82,25,77,2.77,-9.42,-76.78
George Town,76.62,78.8,40,100,2.24,5.41,100.34
Pontes e Lacerda,65.46,65.46,15,66,4.83,-15.23,-59.34
Oodweyne,72.03,72.03,97,60,21.23,9.41,45.06
Mount Isa,60.8,60.8,33,48,10.49,-20.73,139.5
Pa Daet,77.0,77.0,20,100,3.36,19.5,99.99
Jumla,62.02,62.02,80,71,1.34,29.27,82.18
São João da Barra,74.68,74.68,100,73,4.56,-21.64,-41.05
Quelimane,68.05,68.05,91,81,6.08,-17.88,36.89
Coahuayana Viejo,77.0,77.0,75,83,17.22,18.73,-103.68
Schruns,55.06,57.0,54,94,3.0,47.07,9.95
Quincy,68.9,72.0,75,88,6.29,42.25,-71.0
Muros,60.01,60.01,7,84,1.99,42.78,-9.06
Lapua,49.01,51.01,0,74,3.0,62.97,23.01
Dakar,80.6,80.6,75,83,11.41,14.69,-17.44
Nakapiripirit,66.72,66.72,98,79,3.51,1.92,34.78
Sabha,81.41,81.41,0,16,9.57,27.04,14.43
Nelson Bay,56.64,59.0,0,81,13.87,-32.72,152.15
Poronaysk,59.85,59.85,51,63,8.48,49.22,143.12
Buin,54.12,57.2,40,76,3.36,-33.73,-70.75
Moussoro,87.98,87.98,16,41,8.95,13.64,16.49
Ransang,82.65,82.65,71,70,3.04,8.96,117.58
Todireni,67.48,69.01,1,63,4.43,47.62,27.12
Rechka Vydrino,61.3,61.3,24,64,2.17,51.48,104.85
Los Llanos de Aridane,73.4,73.4,90,78,18.34,28.66,-17.92
Tevaitoa,80.02,80.02,82,79,23.51,-16.78,-151.5
Ligayan,84.06,84.06,5,66,4.32,4.65,119.47
Pangai,77.0,77.0,75,69,5.82,-19.8,-174.35
Alaca,57.74,57.74,0,76,3.67,40.17,34.84
Kipushi,53.89,53.89,53,66,6.29,-11.77,27.23
Orange Cove,93.99,97.0,1,21,5.01,36.62,-119.31
Fyteíes,65.44,75.2,40,83,2.33,38.7,21.18
Jizan,91.4,91.4,78,75,11.41,17.33,42.67
Nyaunglebin,77.2,77.2,100,92,4.97,17.95,96.73
Neftçala,72.77,72.77,80,68,3.74,39.37,49.25
Kichera,76.53,76.53,55,45,3.56,55.94,110.1
Tadine,70.81,70.81,0,49,12.5,-21.55,167.88
Montepuez,60.26,60.26,0,79,9.48,-13.13,39.0
Belyy Yar,60.8,60.8,1,93,2.51,53.6,91.39
Aksu,73.83,73.83,80,29,11.9,41.12,80.26
Labuan,75.0,77.0,75,94,1.12,5.28,115.24
Hay River,51.8,51.8,90,100,10.29,60.82,-115.8
Nuuk,48.09,48.2,49,66,12.75,64.18,-51.72
Jardim,53.83,53.83,0,63,3.65,-21.48,-56.14
Ayorou,92.46,92.46,46,36,8.81,14.73,0.92
Nome,50.0,50.0,90,87,17.22,64.5,-165.41
Benito Juarez,72.93,75.2,90,41,17.22,19.39,-99.17
Karabanovo,54.54,54.54,0,95,5.21,56.32,38.7
Mauganj,86.79,86.79,91,56,6.2,24.68,81.88
Gizo Government Station,82.78,82.78,59,70,4.56,-8.1,156.84
Artyom,68.0,68.0,32,94,6.93,40.47,50.33
Lebedinyy,72.37,72.37,96,47,8.61,58.52,125.52
Newport,56.39,59.0,3,87,1.99,51.59,-3.0
Anadyr,42.35,42.8,75,100,24.61,64.75,177.48
Straumen,47.16,48.99,75,70,11.41,63.87,11.3
Hualmay,60.87,60.87,7,84,8.75,-11.1,-77.61
Catemaco,89.6,89.6,5,66,18.34,18.42,-95.12
Egvekinot,40.87,40.87,100,99,10.76,66.32,-179.17
Tual,79.36,79.36,74,80,18.39,-5.67,132.75
Cardston,61.38,66.2,20,48,20.8,49.2,-113.3
Sangar,72.61,72.61,49,54,2.06,63.92,127.47
Caibarién,84.2,84.2,75,74,12.75,22.52,-79.47
Belaya Gora,61.83,61.83,20,41,12.93,68.53,146.42
Iquitos,82.4,82.4,40,78,3.36,-3.75,-73.25
Meulaboh,76.3,76.3,94,81,3.87,4.14,96.13
Arica,60.8,60.8,3,72,8.05,-18.48,-70.3
Chicama,63.48,63.48,8,79,6.11,-7.84,-79.15
Bambamarca,54.99,54.99,29,81,2.66,-6.68,-78.53
Usogorsk,54.46,54.46,100,93,8.12,63.41,48.69
Vayalār,78.8,78.8,90,94,2.3,9.7,76.33
Porto San Giorgio,78.01,78.01,1,79,5.35,43.18,13.79
Yangi Marg`ilon,75.2,75.2,20,41,4.7,40.43,71.72
Mogadouro,62.01,62.01,0,78,5.41,41.34,-6.71
Aksarka,52.72,52.72,0,68,9.35,66.56,67.8
Handan,81.07,81.07,80,60,5.86,36.6,114.47
Tilichiki,56.3,56.3,0,43,9.04,60.47,166.1
Yichang,73.0,73.0,100,86,1.92,30.71,111.28
Qurayyat,71.6,71.6,0,35,18.34,31.33,37.34
Sturgis,83.39,86.0,1,51,4.7,41.8,-85.42
Victor Harbor,50.0,50.0,0,81,15.64,-35.57,138.62
Saint George,94.26,96.01,1,9,6.93,37.1,-113.58
Luena,52.63,52.63,5,62,3.58,-11.78,19.92
Sur,84.24,84.24,57,79,2.68,22.57,59.53
Nybro,57.63,62.01,22,93,4.7,56.74,15.91
Half Moon Bay,68.13,79.0,20,82,11.41,37.46,-122.43
Det Udom,73.4,73.4,75,100,3.36,14.91,105.08
Cabiraoan,83.16,83.16,100,78,5.26,18.32,122.09
Opatija,69.01,69.01,0,82,3.0,45.34,14.31
Antofagasta,57.2,57.2,20,82,4.7,-23.65,-70.4
Yoichi,65.34,66.0,90,100,5.82,43.2,140.77
Anito,84.9,84.9,100,73,7.38,12.45,125.29
Port Augusta,49.06,50.0,0,93,8.05,-32.5,137.77
Melfi,78.8,78.8,5,57,4.7,41.0,15.65
Raja,69.66,69.66,100,93,4.65,8.46,25.68
Idlib,75.2,75.2,0,88,14.99,35.93,36.63
Kumluca,84.02,84.02,0,35,8.12,36.37,30.29
Elverum,45.25,50.0,100,87,5.01,60.88,11.56
Hirado,71.28,71.6,40,83,5.82,33.36,129.55
Sibolga,75.78,75.78,60,76,3.74,1.74,98.78
Salinas,64.26,68.0,75,59,17.22,36.68,-121.66
Rodeo,71.56,86.0,1,28,16.11,38.03,-122.27
Masvingo,49.19,49.19,38,96,3.91,-20.06,30.83
Touros,75.2,75.2,1,88,3.36,-5.2,-35.46
Breyten,39.54,39.54,0,72,4.61,-26.3,29.99
Maceió,73.4,73.4,40,88,2.24,-9.67,-35.74
Kloulklubed,77.0,77.0,90,88,5.82,7.04,134.26
Pemangkat,78.04,78.04,83,86,6.13,1.17,108.97
Richards Bay,62.71,62.71,0,72,11.74,-28.78,32.04
Mattru,74.12,74.12,100,96,2.75,7.62,-11.83
Krasnyy Oktyabr',54.97,54.97,0,95,4.43,56.12,38.88
Marawi,77.0,77.0,20,89,7.0,8.0,124.29
Połczyn-Zdrój,62.01,62.01,100,89,9.55,53.76,16.1
Jinka,63.16,63.16,99,83,3.51,5.65,36.65
Windsor,84.22,86.0,1,45,10.29,42.3,-83.02
Lavrentiya,43.84,43.84,100,95,14.92,65.58,-171.0
Béjar,75.99,75.99,16,35,1.01,40.39,-5.76
Nara,74.14,75.0,75,69,6.93,34.69,135.8
Huarmey,61.72,61.72,16,82,7.47,-10.07,-78.15
Takelsa,83.3,86.0,0,65,3.36,36.78,10.63
Mto wa Mbu,64.94,64.94,90,69,4.14,-3.35,35.85
Lorengau,84.04,84.04,98,73,11.01,-2.02,147.27
Yuxia,74.46,77.0,0,88,2.24,34.06,108.63
Sinnamary,75.88,75.88,100,89,3.24,5.38,-52.95
Ciudad Bolivar,82.69,82.69,62,65,12.62,8.12,-63.55
Hwange,51.1,51.1,0,67,3.24,-18.37,26.5
Nhulunbuy,78.8,78.8,40,69,9.17,-12.23,136.77
Västerås,56.46,57.2,51,82,4.7,59.62,16.55
Port Said,77.0,77.0,0,78,3.36,31.26,32.28
Goderich,72.93,73.99,10,75,10.49,43.75,-81.72
Khovd,60.46,60.46,11,47,8.39,48.01,91.64
Colombia,82.4,82.4,97,78,9.17,20.99,-77.43
Emerald,65.26,66.2,0,77,5.82,-23.53,148.17
Nemuro,54.81,54.81,100,96,8.43,43.32,145.57
Kawalu,73.18,73.18,100,93,1.66,-7.38,108.21
Nantucket,66.88,69.01,1,88,4.7,41.28,-70.1
Esperance,48.2,48.2,90,100,6.93,-33.87,121.9
Saint-Joseph,60.39,68.0,90,88,6.93,-21.37,55.62
Linxia Chengguanzhen,63.36,63.36,0,48,1.32,35.6,103.21
Karratha,71.51,71.51,25,44,9.26,-20.74,116.85
Grindavik,50.0,50.0,20,87,8.05,63.84,-22.43
Chippewa Falls,85.57,87.01,1,51,9.17,44.94,-91.39
Acapulco de Juárez,87.8,87.8,20,62,6.93,16.86,-99.89
Makīnsk,54.36,54.36,100,94,13.0,52.63,70.42
Cooma,48.2,48.2,1,70,23.04,-36.23,149.13
Mae Sai,77.0,77.0,20,100,3.36,20.43,99.88
Zhangye,75.6,75.6,10,19,4.5,38.93,100.45
Camocim,77.61,77.61,2,86,10.45,-2.9,-40.84
Tarko-Sale,55.99,55.99,72,85,10.02,64.92,77.78
Yashkul',71.06,71.06,33,46,10.16,46.17,45.34
Channel-Port aux Basques,61.36,61.36,98,96,3.71,47.57,-59.14
San Jose,82.13,86.0,20,44,13.87,37.34,-121.89
Saint-Pierre,61.66,68.0,90,88,6.93,-21.34,55.48
Vanimo,83.97,83.97,56,65,6.24,-2.67,141.3
Nueve de Julio,46.0,46.0,97,78,1.01,-35.44,-60.88
Marabba,84.31,84.31,88,56,18.63,12.35,32.18
Champerico,82.4,82.4,40,78,4.7,14.3,-91.92
Williston,78.91,79.0,40,39,5.82,48.15,-103.62
Guarujá,69.01,69.01,0,71,5.39,-23.99,-46.26
Ierapetra,75.36,78.01,0,64,6.89,35.01,25.74
